Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
0.000746301,33,198,2.572284908,Lyase activity , http://amigo.geneontology.org/amigo/term/GO:0016829, Apip  Aldoc  Cenpv  Pcbd1  Auh  Pcbd2  Xrcc6  Eci1  Got1  Shmt2  Ptges2  Hdc  Car13  Cth  Hacd4  Echdc2  Urod  Park7  Car6  Paics  Sdsl  Ogg1  Aldoa  Car5b  Cyp1a1  Ilvbl  Echdc3  Pck2  Nthl1  Hmga2  Cdyl  Ppcdc  Mgst2
0.020610801,19,121,2.423475038,"Catalytic activity, acting on a tRNA ", http://amigo.geneontology.org/amigo/term/GO:0140101, Trmt1  Qtrt1  Mettl1  Mrpl58  Dalrd3  Mettl2  Wars  Rpp40  Fars2  Rars2  Pus1  Gatc  Aars  Trmt10b  Ptrh1  Mtfmt  Pop5  Ptrh2  Aarsd1
0.012238699,24,160,2.315056417,Isomerase activity , http://amigo.geneontology.org/amigo/term/GO:0016853, Top1mt  Eci2  Cwc27  Ero1a  Ebpl  Pmm1  Gfus  Pmm2  Eci1  Katnal2  Rpe  Ppil3  Thap4  Ptges2  Erp44  Pgm2  Gnpda2  Pus1  Renbp  Glce  Galm  Qsox2  Gnpda1  Ech1
0.004925279,45,362,1.918555042,"Catalytic activity, acting on RNA ", http://amigo.geneontology.org/amigo/term/GO:0140098, Rtca  Trmt1  Qtrt1  Nob1  Polr2e  Bud23  Mettl1  Mrpl58  Dalrd3  Ddx39b  Supv3l1  Cnot8  Polr1f  Ddx52  Mettl2  Wars  Rpp40  Fars2  Dimt1  Parn  Ddx59  Polr3c  Rars2  Ints11  Ddx55  Ddx51  Pus1  Gatc  Polr1d  Polr2c  Aars  Rexo2  Ybey  Trmt10b  Tfb1m  Mrm3  Trmt112  Ddx10  Ptrh1  Mtfmt  Pop5  Polr1c  Polr2g  Ptrh2  Aarsd1
0.012238699,38,307,1.91036143,Ubiquitin protein ligase binding , http://amigo.geneontology.org/amigo/term/GO:0031625, Fbxo7  Fancl  Ikbkg  Bid  Jkamp  Sqstm1  Cd40  Gabarap  Ripk1  Laptm4b  Myc  Ube2j2  Washc1  Axin1  Grk2  Erlin1  Faf2  Ube2w  Eif4e2  Nek6  Ptpn22  Scamp3  Glmn  Pxn  Ltbr  Det1  Gabarapl2  Trib1  Triobp  Ccdc50  Stub1  Ikbke  Ubxn7  Bcl2  Hspbp1  Aup1  Mfhas1  Casc3
0.013988811,59,555,1.640700644,"Catalytic activity, acting on a nucleic acid ", http://amigo.geneontology.org/amigo/term/GO:0140640, Rtca  Top1mt  Trmt1  Qtrt1  Nob1  Ruvbl2  Polr2e  Bud23  Dhx34  Mettl1  Rad51d  Mrpl58  Dalrd3  Dnase1l1  Ddx39b  Supv3l1  Cnot8  Polr1f  Ddx52  Mettl2  Wars  Rpp40  Fars2  Ercc6l2  Dimt1  Xrcc6  Parn  Mus81  Ddx59  Polr3c  Rars2  Ints11  Ddx55  Ddx51  Ep400  Pus1  Gatc  Polr1d  Ogg1  Polr2c  Aars  Rexo2  Ybey  Trmt10b  Tfb1m  Mrm3  Trmt112  Nthl1  Alkbh2  Ddx10  Ptrh1  Hmga2  Rad51b  Mtfmt  Pop5  Polr1c  Polr2g  Ptrh2  Aarsd1
0.004925279,77,742,1.601611358,"Hydrolase activity, acting on ester bonds ", http://amigo.geneontology.org/amigo/term/GO:0016788, Myg1  Acp2  Mdp1  Pla1a  Pnkp  Nob1  Sgsh  Sulf2  Abhd16a  Ppp2cb  Ptprs  Nit1  Tsen15  Dusp14  Mrpl58  Dnase1l1  Ptprk  Cnot8  Rpp40  Ppp3cb  Esd  Parn  Pde10a  Dusp1  Chka  Mus81  Abhd6  Acot9  Hdhd2  Inpp5a  Pde8a  Pde6d  Ppp2r5a  Tatdn3  Pter  Inpp5e  Dusp19  Pld1  Nceh1  Ptpn22  Ppa2  Pla2g2e  Inpp5b  Ints11  Psph  Pon3  Nt5c3  Dusp11  Dusp16  Ogg1  Pde3b  Lhpp  Aars  Rexo2  Ptpn9  Abhd5  Nt5m  Ybey  Abhd10  Plcg2  Pip4p1  Tns2  Pafah2  Dusp10  Abhd13  Hibch  Nthl1  Acp1  Ppp1r3b  Ptrh1  Hmga2  Pop5  Gdpd1  Mppe1  Ptpmt1  Ptrh2  Aarsd1
0.014615179,107,1163,1.419954352,RNA binding , http://amigo.geneontology.org/amigo/term/GO:0003723, Trmt1  Mrpl2  Rsl1d1  Mettl1  Phax  Rdm1  Sugp1  Igf2bp1  Gtf3a  Slpi  Elp5  Mrpl58  Dalrd3  Ddx39b  Supv3l1  Cnot8  Ddx52  Taf15  Eral1  Rpp40  Fars2  Auh  Dimt1  Mtdh  Utp23  Nudt16l1  Parn  Denr  Celf4  Etf1  Nelfe  Mbd2  Rbm22  Mrpl21  Shmt2  Exosc7  Rpl14  Imp4  Eif4e2  Ddx59  Eif2d  Strbp  Mrps5  Eif6  Eif2a  Aimp1  Rpf1  Cryz  Rps6  Eif3i  Ppp1r8  Yrdc  Trnau1ap  Park7  Fip1l1  Ddx55  Ddx51  Pus1  Cpsf4  Igf2bp3  Zc3hav1  Dusp11  Strap  Cyfip1  Rbpms  Mthfsd  Nip7  Aars  Dcps  Rsl24d1  Igf2bp2  Exosc1  Eef2k  Eif1  Trmt10b  Rbm43  Srp72  Tfb1m  Larp1  Fam120a  Mrm3  Rbms2  Tsfm  Rrp9  Nop53  Ascc1  Scaf8  Rpl37a  Ctu2  Lsm10  Ddx10  Snupn  Myh4  Rpl18  Pop5  Mrps9  Exosc5  Rps15  Fam172a  Eif3g  Polr2g  Gspt2  Sox2  Sf3b5  Casc3  Rps27  Snrpn
0.000574486,42,1163,-2.090856979,RNA binding , http://amigo.geneontology.org/amigo/term/GO:0003723, Ddx3x  Ranbp2  Calr  Hnrnpa2b1  Rbm25  Hspa8  Srsf6  Ddx5  Eif5  Hnrnpk  Rbm26  Son  Synj1  Srsf7  Sf1  Paip1  Sf3b1  Rbm39  Sfpq  Hnrnpdl  Pan3  Luc7l2  Cnbp  Rbmx  Ddx6  Rbfox2  Rnps1  Ythdc1  Ago2  Ddx1  Matr3  Morc3  Hnrnph2  Rbm12b2  Ep300  Ddx17  Upf1  Hnrnpc  Qk  Hnrnpr  Htatsf1  Srsf3
0.001193802,6,33,-10.52669553,Pre-mRNA binding , http://amigo.geneontology.org/amigo/term/GO:0036002, Hnrnpa2b1  Srsf6  Ddx5  Hnrnpk  Sf1  Ep300
0.004014021,5,28,-10.33871882,Actin monomer binding , http://amigo.geneontology.org/amigo/term/GO:0003785, Mtss1  Lima1  Twf2  Pknox2  Tmsb10
1.54E-05,21,291,-4.17812142,MRNA binding , http://amigo.geneontology.org/amigo/term/GO:0003729, Ddx3x  Calr  Hnrnpa2b1  Rbm25  Srsf6  Ddx5  Hnrnpk  Sf1  Sf3b1  Luc7l2  Cnbp  Rbmx  Ddx6  Rbfox2  Rnps1  Ythdc1  Ago2  Hnrnpc  Qk  Hnrnpr  Srsf3
2.84E-06,39,786,-2.872743245,Protein domain specific binding , http://amigo.geneontology.org/amigo/term/GO:0019904, Dazap2  Prkaca  Gata2  Ube2i  Hspa8  Reps1  Ddx5  Strn3  Hnrnpk  Cblb  Son  Synj1  Srsf7  Ddb1  Cdk2  Fn1  Bmi1  Rbm39  Skil  Ptpn12  Rbmx  Atrx  Sh3bgrl  Rdx  Ddx6  Scn5a  Acsl3  Skp1  Pmepa1  Mcl1  Lpar1  Ikzf5  Fzd1  Fzd2  Gja1  Ebf1  Hnrnpc  Qk  Pde2a
0.001774239,21,443,-2.744544771,Actin binding , http://amigo.geneontology.org/amigo/term/GO:0003779, Vcl  Myo10  Mtss1  Dyrk1a  Lima1  Twf2  Gsn  Maco1  Rdx  Pknox2  Fermt2  Ctnna1  Ctnnal1  Synpo2l  Hip1  Cxcr4  Cnn3  Palld  Marcks  Tlnrd1  Tmsb10
6.16E-05,53,1486,-2.064960798,ATP binding , http://amigo.geneontology.org/amigo/term/GO:0005524, Ddx3x  Braf  Map2k7  Ddr1  Prkaca  Kif5b  Ttll5  Ube2i  Hspa8  Actr8  Stk4  Flt4  Ddx5  Mthfd1  Prpf4b  Psmc6  Lats2  Nadk2  Myo10  Dyrk1a  Gart  Twf2  Pdgfrb  Chuk  Cdk2  Atp5a1  Map4k4  Yme1l1  Hipk3  Orc1  Dyrk2  Pan3  Dmpk  Atrx  Acsl4  Irak1  Mast3  Ddx6  Acsl3  Bmp2k  Acta2  Ddx1  Trpm4  Adk  Sbk1  Atad2b  Mat2a  Ddx17  Ide  Gsk3a  Upf1  Actg2  Hspa1b
6.16E-05,55,1555,-2.047797683,Adenyl ribonucleotide binding , http://amigo.geneontology.org/amigo/term/GO:0032559, Ddx3x  Braf  Map2k7  Ddr1  Prkaca  Kif5b  Ttll5  Ube2i  Hspa8  Actr8  Stk4  Flt4  Ddx5  Mthfd1  Prpf4b  Psmc6  Lats2  Nadk2  Myo10  Dyrk1a  Gart  Twf2  Pdgfrb  Chuk  Cdk2  Atp5a1  Map4k4  Soat1  Yme1l1  Hipk3  Orc1  Dyrk2  Pan3  Dmpk  Atrx  Acsl4  Irak1  Mast3  Ddx6  Acsl3  Bmp2k  Acta2  Ddx1  Trpm4  Adk  Sbk1  Atad2b  Mat2a  Ddx17  Ide  Gsk3a  Upf1  Actg2  Hspa1b  Pde2a
6.16E-05,55,1569,-2.029525428,Adenyl nucleotide binding , http://amigo.geneontology.org/amigo/term/GO:0030554, Ddx3x  Braf  Map2k7  Ddr1  Prkaca  Kif5b  Ttll5  Ube2i  Hspa8  Actr8  Stk4  Flt4  Ddx5  Mthfd1  Prpf4b  Psmc6  Lats2  Nadk2  Myo10  Dyrk1a  Gart  Twf2  Pdgfrb  Chuk  Cdk2  Atp5a1  Map4k4  Soat1  Yme1l1  Hipk3  Orc1  Dyrk2  Pan3  Dmpk  Atrx  Acsl4  Irak1  Mast3  Ddx6  Acsl3  Bmp2k  Acta2  Ddx1  Trpm4  Adk  Sbk1  Atad2b  Mat2a  Ddx17  Ide  Gsk3a  Upf1  Actg2  Hspa1b  Pde2a
0.000337486,50,1457,-1.986850563,Protein-containing complex binding , http://amigo.geneontology.org/amigo/term/GO:0044877, Ddx3x  Mmp14  Braf  Ranbp2  Ddr1  Calr  Prkaca  Pdcl  Arnt  Rtn4  Ddx5  Strn3  Hnrnpk  Ppp3cb  Vcl  Myo10  Cyrib  Synj1  Lima1  Twf2  Cdh2  Lox  Megf10  Ddb1  Chuk  Itgb8  Cdk2  Fn1  Gsn  Ptpn1  Skil  Maco1  Spp1  Uqcrc2  Bmp2k  Pknox2  Ldlrap1  Fermt2  Ctnna1  Mcl1  Ctnnal1  Hip1  Ep300  Ide  Hadhb  Hnrnpc  S1pr3  Marcks  Arid1b  Cntf
0.003282005,38,1132,-1.943533008,Cis-regulatory region sequence-specific DNA binding , http://amigo.geneontology.org/amigo/term/GO:0000987, Mxd1  Evx2  Nfix  Hif3a  Gabpa  Gata2  Arnt  Cry1  Hnrnpk  Vdr  Bmi1  Creb3l1  Skil  Zfp719  Rbmx  Ets1  Zbtb1  Egr3  Mga  Six4  Pbx2  Pknox2  Zscan21  Zfp280d  Ikzf5  Zfp281  Zfp410  Zbtb33  Zfp260  Zfp644  Zfp52  Six1  Sox12  Ep300  Ebf1  Rbbp4  Sox11  Hes6
0.004014021,37,1110,-1.92989418,RNA polymerase II cis-regulatory region sequence-specific DNA binding , http://amigo.geneontology.org/amigo/term/GO:0000978, Mxd1  Evx2  Nfix  Hif3a  Gabpa  Gata2  Arnt  Cry1  Vdr  Bmi1  Creb3l1  Skil  Zfp719  Rbmx  Ets1  Zbtb1  Egr3  Mga  Six4  Pbx2  Pknox2  Zscan21  Zfp280d  Ikzf5  Zfp281  Zfp410  Zbtb33  Zfp260  Zfp644  Zfp52  Six1  Sox12  Ep300  Ebf1  Rbbp4  Sox11  Hes6
0.00311402,45,1424,-1.829604735,Transcription regulatory region nucleic acid binding , http://amigo.geneontology.org/amigo/term/GO:0001067, Mxd1  Evx2  Nfix  Hif3a  Hnrnpa2b1  Gabpa  Gata2  Arnt  Cry1  Hnrnpk  Vdr  Bmi1  Creb3l1  Skil  Sfpq  Dr1  Zfp719  Rbmx  Ets1  Zbtb1  Egr3  Mga  Six4  Pbx2  Pknox2  Ago2  Zscan21  Zfp280d  Ikzf5  Zfp281  Zfp410  Zbtb33  Zfp260  Zfp644  Zfp52  Six1  Sox12  Ep300  Ebf1  Rbbp4  Zfp266  Sox11  Hes6  Zfp763  Zfp799
0.001678557,50,1591,-1.81951054,Sequence-specific DNA binding , http://amigo.geneontology.org/amigo/term/GO:0043565, Mxd1  Evx2  Nfix  Hif3a  Hnrnpa2b1  Gabpa  Gata2  Arnt  Cry1  Hnrnpk  Vdr  Bmi1  Creb3l1  Skil  Orc1  Sfpq  Dr1  Cux1  Zfp719  Rbmx  Cbfb  Ets1  Zbtb1  Egr3  Mga  Six4  Pbx2  Pknox2  Ago2  Zscan21  Zfp280d  Ikzf5  Zfp281  Zfp410  Csrnp2  Zbtb33  Zfp260  Zfp644  Zfp52  Six1  Sox12  Ep300  Ebf1  Rbbp4  Upf1  Zfp266  Sox11  Hes6  Zfp763  Zfp799
0.000831808,57,1836,-1.797450462,Purine ribonucleoside triphosphate binding , http://amigo.geneontology.org/amigo/term/GO:0035639, Ddx3x  Tubb6  Braf  Map2k7  Ddr1  Prkaca  Kif5b  Ttll5  Ube2i  Hspa8  Actr8  Stk4  Rab1a  Flt4  Ddx5  Mthfd1  Rab15  Eif5  Prpf4b  Psmc6  Lats2  Nadk2  Myo10  Dyrk1a  Gart  Twf2  Pdgfrb  Chuk  Cdk2  Atp5a1  Map4k4  Yme1l1  Hipk3  Orc1  Dyrk2  Pan3  Dmpk  Atrx  Acsl4  Irak1  Mast3  Ddx6  Acsl3  Bmp2k  Acta2  Ddx1  Trpm4  Adk  Sbk1  Atad2b  Mat2a  Ddx17  Ide  Gsk3a  Upf1  Actg2  Hspa1b
0.004014021,46,1493,-1.783827172,Sequence-specific double-stranded DNA binding , http://amigo.geneontology.org/amigo/term/GO:1990837, Mxd1  Evx2  Nfix  Hif3a  Gabpa  Gata2  Arnt  Cry1  Hnrnpk  Vdr  Bmi1  Creb3l1  Skil  Orc1  Sfpq  Dr1  Cux1  Zfp719  Rbmx  Ets1  Zbtb1  Egr3  Mga  Six4  Pbx2  Pknox2  Ago2  Zscan21  Zfp280d  Ikzf5  Zfp281  Zfp410  Zbtb33  Zfp260  Zfp644  Zfp52  Six1  Sox12  Ep300  Ebf1  Rbbp4  Zfp266  Sox11  Hes6  Zfp763  Zfp799
0.000831808,59,1915,-1.783766422,Purine ribonucleotide binding , http://amigo.geneontology.org/amigo/term/GO:0032555, Ddx3x  Tubb6  Braf  Map2k7  Ddr1  Prkaca  Kif5b  Ttll5  Ube2i  Hspa8  Actr8  Stk4  Rab1a  Flt4  Ddx5  Mthfd1  Rab15  Eif5  Prpf4b  Psmc6  Lats2  Nadk2  Myo10  Dyrk1a  Gart  Twf2  Pdgfrb  Chuk  Cdk2  Atp5a1  Map4k4  Soat1  Yme1l1  Hipk3  Orc1  Dyrk2  Pan3  Dmpk  Atrx  Acsl4  Irak1  Mast3  Ddx6  Acsl3  Bmp2k  Acta2  Ddx1  Trpm4  Adk  Sbk1  Atad2b  Mat2a  Ddx17  Ide  Gsk3a  Upf1  Actg2  Hspa1b  Pde2a
0.000831808,59,1930,-1.769902953,Purine nucleotide binding , http://amigo.geneontology.org/amigo/term/GO:0017076, Ddx3x  Tubb6  Braf  Map2k7  Ddr1  Prkaca  Kif5b  Ttll5  Ube2i  Hspa8  Actr8  Stk4  Rab1a  Flt4  Ddx5  Mthfd1  Rab15  Eif5  Prpf4b  Psmc6  Lats2  Nadk2  Myo10  Dyrk1a  Gart  Twf2  Pdgfrb  Chuk  Cdk2  Atp5a1  Map4k4  Soat1  Yme1l1  Hipk3  Orc1  Dyrk2  Pan3  Dmpk  Atrx  Acsl4  Irak1  Mast3  Ddx6  Acsl3  Bmp2k  Acta2  Ddx1  Trpm4  Adk  Sbk1  Atad2b  Mat2a  Ddx17  Ide  Gsk3a  Upf1  Actg2  Hspa1b  Pde2a
0.000831808,59,1933,-1.767156078,Ribonucleotide binding , http://amigo.geneontology.org/amigo/term/GO:0032553, Ddx3x  Tubb6  Braf  Map2k7  Ddr1  Prkaca  Kif5b  Ttll5  Ube2i  Hspa8  Actr8  Stk4  Rab1a  Flt4  Ddx5  Mthfd1  Rab15  Eif5  Prpf4b  Psmc6  Lats2  Nadk2  Myo10  Dyrk1a  Gart  Twf2  Pdgfrb  Chuk  Cdk2  Atp5a1  Map4k4  Soat1  Yme1l1  Hipk3  Orc1  Dyrk2  Pan3  Dmpk  Atrx  Acsl4  Irak1  Mast3  Ddx6  Acsl3  Bmp2k  Acta2  Ddx1  Trpm4  Adk  Sbk1  Atad2b  Mat2a  Ddx17  Ide  Gsk3a  Upf1  Actg2  Hspa1b  Pde2a
0.002092337,54,1791,-1.745632927,Transcription regulator activity , http://amigo.geneontology.org/amigo/term/GO:0140110, Mxd1  Evx2  Nfix  Hif3a  Gabpa  Gata2  Arnt  Vdr  Crebbp  Dyrk1a  Tcerg1  Lcor  Maged1  Ube3a  Hipk3  Creb3l1  Rbm39  Skil  Mycbp  Dr1  Cux1  Zfp719  Cbfb  Ets1  Zbtb1  Rbfox2  Egr3  Mga  Six4  Pbx2  Pknox2  Zscan21  Ddx1  Zfp280d  Ss18l1  Ikzf5  Zfp281  Zfp410  Csrnp2  Zbtb33  Zfp260  Zfp644  Rlf  Zfp52  Six1  Sox12  Ep300  Ddx17  Ebf1  Zfp266  Sox11  Hes6  Zfp763  Zfp799
