Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
1.16E-06,67,510,2.027565751,Organelle inner membrane , http://amigo.geneontology.org/amigo/term/GO:0019866, Oxa1l  Dhrs1  Timm44  Phb2  Atp5g1  Sdhb  Aldh3a2  Slc25a11  Coa3  Slc25a39  Fdxr  Timm13  Vdac1  Eral1  Timm22  Coq6  Mcur1  Slc25a30  Eci1  Aldh18a1  Shmt2  Atp23  Bcs1l  Efhd1  Coq4  Ndufa8  Crls1  Ndufaf5  Hadh  Mcub  Coq3  Stoml2  Pmpcb  Atad3a  P2rx7  Agk  Chchd6  Tmem43  Slc25a14  Slc25a4  Slc27a1  Fdx1  Cyp1a1  Slc25a38  AA467197  Parl  Cox18  Rnf13  Letmd1  Timm8b  Mtg1  Mtg2  Ttc19  Tmem11  Timm8a1  Ndufaf6  Chchd3  Sirt5  Immp2l  Bcl2  Uqcr10  Tmem65  Ptpmt1  Cox7a1  Gpx4  Sco2  Mpv17
2.75E-08,88,675,2.012098417,Mitochondrial membrane , http://amigo.geneontology.org/amigo/term/GO:0031966, Pemt  Oxa1l  Dhrs1  Qtrt1  Timm44  Bax  Fam162a  Phb2  Bid  Tomm40l  Atp5g1  Sdhb  Aldh3a2  Slc25a11  Coa3  Slc25a39  Fdxr  Aifm2  Timm13  Vdac1  Eral1  Timm22  Coq6  Mcur1  Slc25a30  Bnip3l  Agpat4  Eci1  Bnip1  Ppp2r2b  Bad  Aldh18a1  Abhd6  Shmt2  Atp23  Tmem14a  Bcs1l  Efhd1  Coq4  Dnm1  Ndufa8  Crls1  Ndufaf5  Hadh  Mcub  Coq3  Stoml2  Pmpcb  Atad3a  Agk  Chchd6  Slc25a14  Slc25a4  Slc27a1  Fdx1  Cyp1a1  Slc25a38  AA467197  Parl  Vat1  Cox18  Mgarp  Letmd1  Bri3bp  Rnf144b  Afg1l  Timm8b  Mtg1  Mtg2  Cox10  Ttc19  Ikbke  Tmem11  Timm8a1  Ndufaf6  Chchd3  Sirt5  Immp2l  Bcl2  Uqcr10  Tmem65  Ptpmt1  Mtx1  Cox7a1  Gpx4  Sco2  Tomm20  Mpv17
7.09E-08,104,869,1.847072247,Endosome , http://amigo.geneontology.org/amigo/term/GO:0005768, Epn2  Rac1  Cdkn1b  Stard3nl  Clcn3  Mcoln1  Ndrg1  Slc30a4  Snf8  Prss16  Hfe  Stambp  Nf2  Vac14  Atp6v0d1  Tmem175  Steap1  Sqstm1  Vps53  Ap4m1  Ubxn6  Snx3  Vta1  Uhrf1bp1l  Stx7  Rab21  Ap3d1  Tom1l1  Lgmn  Zfyve21  Pdcd6  Slc39a14  Laptm4b  Bsg  Washc1  Plin3  Npc1  Ndfip1  Rab27b  Ehd1  Stambpl1  Snx15  Vti1a  Abhd6  Tmem192  Hgs  Vamp4  Snx5  Snx16  Chmp4c  Pld1  Scamp3  Chmp5  Osbpl9  Rragc  Inpp5b  Tmub1  Tmem165  Tmem106b  Ccz1  Gpnmb  Lamtor1  Leprotl1  Mvb12a  Rab3a  Wdr48  Ank2  Gga1  Arhgap27  Grn  Plekhj1  Pip4p1  Rnf13  Atp13a2  Dner  Unc93b1  Tspan15  Prkci  Gnpnat1  Snx10  Chmp4b  Mvb12b  Magi2  Trappc5  Rcc2  Rhod  Osbpl1a  Nipa1  Mmgt2  Snx21  Commd1  Ndfip2  Yipf1  Dtnbp1  Flot1  Grb2  Flot2  Slc31a2  Vps37b  Ap5s1  Rabepk  Ube2d3  Rab7  Bloc1s1
4.22E-08,109,916,1.836544028,Nucleolus , http://amigo.geneontology.org/amigo/term/GO:0005730, Klf6  Ccnd2  Myg1  Eef1e1  Vrk3  Timm44  Pnkp  Nob1  Polr2e  Cstb  Senp3  Bud23  Rsl1d1  Mettl1  Twist2  Zfp655  Gprc5b  Nf2  Cilk1  Rdm1  Surf2  Edf1  Dnttip1  Vmp1  Rpain  Aatf  Timm13  Cdkn2aipnl  Polr1f  Ddx52  Nle1  Tsen54  Ubtf  Rpp40  Dimt1  Ngdn  Mtdh  Utp23  Myc  Xrcc6  Maf1  Parn  Rrp36  Wdr33  Snx15  Mus81  Mbd6  Tma16  Rps6ka6  Exosc7  Wdr12  Imp4  Ola1  Eif6  Rpf1  Dctn3  Rps6  Plk3  Ebna1bp2  AU040320  Tmub1  Dnajc2  Ddx55  Ddx51  Pus1  Polr1d  Prdm5  Dusp11  Cask  Rps6ka3  Nip7  Rexo2  Rsl24d1  Noc4l  Tcea1  Meak7  Exosc1  Srp72  Thap1  Letmd1  Phf2  Btbd10  Hdhd3  Pak1ip1  Akna  Gpatch2  Rcc2  Mdfic  Rrp9  Nop53  Abhd14b  Cox10  Cd2bp2  Wdr55  Wdr74  Dnajc21  Spty2d1  Rps19bp1  Rrp1b  Deaf1  Rpl18  Taf1b  Grb2  Pop5  Mrps9  Exosc5  Polr1c  S100a16  Tmem179b
7.39E-07,95,812,1.805667978,Cytoplasmic vesicle membrane , http://amigo.geneontology.org/amigo/term/GO:0030659, Epn2  Rac1  Pla1a  Stard3nl  Clcn3  Mcoln1  Ndrg1  Slc30a4  Snf8  Spire2  Vac14  Ptprs  Tmem175  Steap1  Vps53  Ubxn6  Snx3  Vta1  Rab21  Ap3d1  Tom1l1  Pdcd6  Anxa7  Slc39a14  Laptm4b  Ece2  Bsg  Washc1  Plin3  Atp6v1g2  Npc1  Ndfip1  Rab27b  Snx24  Ehd1  Snx15  Vti1a  Slc18a2  Aspscr1  Abhd6  Hgs  Pde6d  Selp  Vamp4  Snx5  Snx16  Chmp4c  Scamp3  Chmp5  Osbpl9  Rragc  Inpp5b  Necap2  Agtrap  Tmem165  Tmem106b  Gpnmb  Rab43  Zdhhc13  Lamtor1  Rab39b  Mvb12a  Rab3a  Snx33  Gga1  Syt1  Pip4p1  Rnf13  Atp13a2  Tspan15  Syn1  Atp8a1  Gnpnat1  Snx10  Chmp4b  Mvb12b  Rcc2  Sntb2  Stx3  Cltb  Mmgt2  Slc17a5  Snx21  Commd1  Ndfip2  Cope  Yipf1  Dtnbp1  Flot2  Ica1  Vps37b  Ap5s1  Rabepk  Ube2d3  Rab7
1.49E-09,137,1174,1.801037644,Organelle envelope , http://amigo.geneontology.org/amigo/term/GO:0031967, Ccnd2  Pemt  Oxa1l  Dhrs1  Qtrt1  Timm44  Bax  Fam162a  Fancl  Phb2  Bid  Tomm40l  Atp5g1  Sdhb  Aldh3a2  Bnip2  Slc25a11  Coa3  Cenpv  Slc25a39  Ndel1  Fdxr  Scrn1  Aifm2  Dnajb12  Timm13  Vdac1  Eral1  Timm22  Clmn  Coq6  Mcur1  Anxa7  Slc25a30  Bnip3l  Mtdh  Cep89  Agpat4  Eci1  Bnip1  Npc1  Ppp2r2b  Ak3  Bad  Aldh18a1  Gsto1  Abhd6  Shmt2  Atp23  Tmc6  Shisa5  Tmem14a  Bcs1l  Efhd1  Dnajc1  Coq4  Dnm1  Ndufa8  Crls1  Ndufaf5  Hadh  Mcub  Coq3  Stoml2  Park7  Dnajc2  Pmpcb  Atad3a  P2rx7  Agk  Mrpl19  Chchd6  Tmem43  Dctn5  Slc25a14  Ednra  Slc25a4  Slc27a1  Rexo2  Fdx1  Cyp1a1  Slc25a38  AA467197  Noc4l  Myo6  Parl  Ccs  Chchd4  Nup54  Vat1  Cox18  Rnf13  Cuedc2  Mgarp  Letmd1  Gch1  Tmem33  Bri3bp  Chchd5  Rnf144b  Hoxa7  Afg1l  Chmp4b  Timm8b  Mtg1  Mtg2  Htatip2  Gfer  Cox10  Ttc19  Ikbke  Tmem11  Ptgs1  Timm8a1  Ndufaf6  Chchd3  Cyhr1  Sirt5  Retsat  Prelid2  Immp2l  Txnl4a  Bcl2  Uqcr10  Tor4a  Tmem65  Ptpmt1  Mtx1  Cox7a1  Mgst2  Gpx4  Casc3  Bloc1s1  Sco2  Tomm20  Mpv17  Nup62
1.49E-09,137,1174,1.801037644,Envelope , http://amigo.geneontology.org/amigo/term/GO:0031975, Ccnd2  Pemt  Oxa1l  Dhrs1  Qtrt1  Timm44  Bax  Fam162a  Fancl  Phb2  Bid  Tomm40l  Atp5g1  Sdhb  Aldh3a2  Bnip2  Slc25a11  Coa3  Cenpv  Slc25a39  Ndel1  Fdxr  Scrn1  Aifm2  Dnajb12  Timm13  Vdac1  Eral1  Timm22  Clmn  Coq6  Mcur1  Anxa7  Slc25a30  Bnip3l  Mtdh  Cep89  Agpat4  Eci1  Bnip1  Npc1  Ppp2r2b  Ak3  Bad  Aldh18a1  Gsto1  Abhd6  Shmt2  Atp23  Tmc6  Shisa5  Tmem14a  Bcs1l  Efhd1  Dnajc1  Coq4  Dnm1  Ndufa8  Crls1  Ndufaf5  Hadh  Mcub  Coq3  Stoml2  Park7  Dnajc2  Pmpcb  Atad3a  P2rx7  Agk  Mrpl19  Chchd6  Tmem43  Dctn5  Slc25a14  Ednra  Slc25a4  Slc27a1  Rexo2  Fdx1  Cyp1a1  Slc25a38  AA467197  Noc4l  Myo6  Parl  Ccs  Chchd4  Nup54  Vat1  Cox18  Rnf13  Cuedc2  Mgarp  Letmd1  Gch1  Tmem33  Bri3bp  Chchd5  Rnf144b  Hoxa7  Afg1l  Chmp4b  Timm8b  Mtg1  Mtg2  Htatip2  Gfer  Cox10  Ttc19  Ikbke  Tmem11  Ptgs1  Timm8a1  Ndufaf6  Chchd3  Cyhr1  Sirt5  Retsat  Prelid2  Immp2l  Txnl4a  Bcl2  Uqcr10  Tor4a  Tmem65  Ptpmt1  Mtx1  Cox7a1  Mgst2  Gpx4  Casc3  Bloc1s1  Sco2  Tomm20  Mpv17  Nup62
7.32E-07,97,832,1.79936276,Vesicle membrane , http://amigo.geneontology.org/amigo/term/GO:0012506, Epn2  Rac1  Pla1a  Stard3nl  Clcn3  Mcoln1  Ndrg1  Slc30a4  Snf8  Spire2  Vac14  Ptprs  Tmem175  Steap1  Vps53  Ubxn6  Snx3  Vta1  Rab21  Ap3d1  Tom1l1  Pdcd6  Anxa7  Slc39a14  Laptm4b  Ece2  Bsg  Washc1  Plin3  Atp6v1g2  Npc1  Ndfip1  Rab27b  Snx24  Ehd1  Snx15  Vti1a  Slc18a2  Aspscr1  Abhd6  Hgs  Pde6d  Selp  Vamp4  Snx5  Snx16  Chmp4c  Scamp3  Chmp5  Osbpl9  Rragc  Inpp5b  Necap2  Agtrap  Tmem165  Tmem106b  Gpnmb  Rab43  Zdhhc13  Lamtor1  Rab39b  Mvb12a  Rab3a  Nck1  Snx33  Gga1  Syt1  Pip4p1  Rnf13  Atp13a2  Tspan15  Syn1  Atp8a1  Gnpnat1  Snx10  Chmp4b  Mvb12b  Rcc2  Sntb2  Stx3  Cltb  Mmgt2  Slc17a5  Snx21  Commd1  Ndfip2  Cope  Yipf1  Dtnbp1  Grb2  Flot2  Ica1  Vps37b  Ap5s1  Rabepk  Ube2d3  Rab7
4.35E-11,181,1614,1.730793935,Bounding membrane of organelle , http://amigo.geneontology.org/amigo/term/GO:0098588, Pxmp4  Epn2  Itfg2  Ergic1  Rac1  Ift46  Acp2  Qtrt1  Pla1a  Stard3nl  Bax  Phb2  Clcn3  Bid  Mcoln1  Ndrg1  Tomm40l  Slc30a4  Snf8  Vac14  Atp6v0d1  Ptprs  Tmem175  Tmem87b  Steap1  Vps53  Vmp1  Gabarap  Cog1  Ubxn6  Snx3  Vta1  Aifm2  Rab21  Ap3d1  Nprl3  Vdac1  Tom1l1  Atp2a3  Clmn  Gpr137b  Pdcd6  Anxa7  Bnip3l  Slc39a14  Laptm4b  Atp6v1c1  Slc25a17  Ece2  Slc49a4  Bsg  Agpat4  Washc1  Plin3  Atp6v1g2  Npc1  Ndfip1  Ppp2r2b  Rab27b  Napg  Ehd1  Asah2  Bad  Vti1a  Slc18a2  Aspscr1  Abhd6  Tmem192  Hgs  Selp  Vamp4  Ptges2  Inpp5e  Prrg4  Mal  Snx5  Snx16  Chmp4c  Mfsd1  Slc50a1  Slc35a3  Gba  Scamp3  Pex11b  Slc35a1  Fktn  Chmp5  Osbpl9  Rragc  AU040320  Trappc3  Inpp5b  Necap2  Agtrap  Stx18  Tmem165  Tmem106b  Ccz1  Gpnmb  Rab43  Tnfrsf1a  Zdhhc13  Acer3  Lamtor1  Cask  Rab39b  Galnt7  Slc25a4  Mvb12a  Rab3a  Gabarapl2  Tmem231  Trappc4  Rp9  Glce  Gga1  Zdhhc15  Meak7  Hid1  Grn  Vat1  Syt1  Pip4p1  Qsox2  Rnf13  Mgat4b  Atp13a2  Decr2  Tspan15  Mgarp  Syn1  Letmd1  Prkci  Atp8a1  Gnpnat1  Bri3bp  Snx10  Chmp4b  Mvb12b  Rhou  St8sia4  Tex264  Rcc2  Sntb2  Stx3  Sys1  Fut10  Cltb  Mmgt2  Slc17a5  Tmem17  Pitpnb  Snx21  Sgms2  Commd1  B3gnt2  Ndfip2  BC048403  Tmem74  Kxd1  Cope  Rras2  Retsat  Bcl2  Yipf1  Dtnbp1  Flot2  Mppe1  Ica1  Tmed5  Mtx1  Vps37b  Rps28  Ap5s1  Rabepk  Lmbrd1  Chst14  Ube2d3  Rab7  Bloc1s1  Tomm20
0.023787276,3,11,-15.79004329,Neurofilament , http://amigo.geneontology.org/amigo/term/GO:0005883, Dyrk1a  Nrp1  Ldlrap1
0.023787276,3,11,-15.79004329,Fascia adherens , http://amigo.geneontology.org/amigo/term/GO:0005916, Vcl  Cdh2  Gja1
0.012280567,5,34,-8.514239029,Podosome , http://amigo.geneontology.org/amigo/term/GO:0002102, Hnrnpk  Vcl  Gsn  Ptpn12  Palld
5.74E-05,11,94,-6.775160419,Catalytic step 2 spliceosome , http://amigo.geneontology.org/amigo/term/GO:0071013, Hnrnpa2b1  Ddx5  Pnn  Prpf4b  Hnrnpk  Prpf19  Sf3b1  Srrm1  Rbmx  Hnrnpc  Hnrnpr
0.008883226,8,91,-5.089830804,Actin filament bundle , http://amigo.geneontology.org/amigo/term/GO:0032432, Vcl  Lima1  Acta2  Fermt2  Amot  Palld  Marcks  Tlnrd1
0.018961657,7,82,-4.942411924,Stress fiber , http://amigo.geneontology.org/amigo/term/GO:0001725, Vcl  Lima1  Acta2  Fermt2  Amot  Palld  Tlnrd1
0.018961657,7,82,-4.942411924,Contractile actin filament bundle , http://amigo.geneontology.org/amigo/term/GO:0097517, Vcl  Lima1  Acta2  Fermt2  Amot  Palld  Tlnrd1
9.35E-06,18,217,-4.802501646,Spliceosomal complex , http://amigo.geneontology.org/amigo/term/GO:0005681, Hnrnpa2b1  Hspa8  Ddx5  Pnn  Prpf4b  Hnrnpk  Wac  Prpf19  Sf1  Sf3b1  Srrm1  Luc7l2  Rbmx  Gcfc2  Upf1  Hnrnpc  Hnrnpr  Htatsf1
0.030067397,7,91,-4.453601954,Actomyosin , http://amigo.geneontology.org/amigo/term/GO:0042641, Vcl  Lima1  Acta2  Fermt2  Amot  Palld  Tlnrd1
0.003325972,13,201,-3.744570797,Lamellipodium , http://amigo.geneontology.org/amigo/term/GO:0030027, Ddx3x  Myo10  Itsn1  Twf2  Cdh2  Gsn  Rdx  Acta2  Fermt2  Ctnna1  Amot  Palld  Actg2
9.35E-06,25,403,-3.591614479,Nuclear speck , http://amigo.geneontology.org/amigo/term/GO:0016607, Dazap2  Hif3a  Prkaca  Rbm25  Srsf6  Pnn  Prpf4b  Erbin  Zc3h13  Dyrk1a  Son  Srsf7  Wac  Prpf19  Sf3b1  Rbm39  Srrm1  Sfpq  Luc7l2  Bmp2k  Rnps1  Ythdc1  Synpo2l  Ddx17  Srsf3
0.008423803,12,195,-3.562881563,Cell-substrate junction , http://amigo.geneontology.org/amigo/term/GO:0030055, Erbin  Vcl  Lima1  Itgb8  Nrp1  Map4k4  Gsn  Ptpn12  Stard8  Rdx  Fermt2  Palld
0.014761323,11,184,-3.461223257,Focal adhesion , http://amigo.geneontology.org/amigo/term/GO:0005925, Vcl  Lima1  Itgb8  Nrp1  Map4k4  Gsn  Ptpn12  Stard8  Rdx  Fermt2  Palld
2.27E-05,27,493,-3.170820052,Actin cytoskeleton , http://amigo.geneontology.org/amigo/term/GO:0015629, Hnrnpk  Vcl  Myo10  Mtss1  Dyrk1a  Itsn1  Lima1  Twf2  Cdh2  Gsn  Ptpn12  Auts2  Rdx  Acta2  Pknox2  Fermt2  Ctnna1  Synpo2l  Hip1  Amot  Cnn3  Palld  Actg2  Hnrnpc  Ccdc102a  Marcks  Tlnrd1
5.87E-08,42,787,-3.089792461,Nuclear body , http://amigo.geneontology.org/amigo/term/GO:0016604, Dazap2  Hif3a  Hnrnpa2b1  Prkaca  Rbm25  Ube2i  Arnt  Srsf6  Stk4  Pnn  Prpf4b  Erbin  Zc3h13  Crebbp  Dyrk1a  Son  Srsf7  Wac  Prpf19  Sf1  Cdk2  Sf3b1  Bmi1  Yme1l1  Hipk3  Rbm39  Skil  Srrm1  Sfpq  Luc7l2  Atrx  Zbtb1  Bmp2k  Rnps1  Ythdc1  Ddx1  Ss18l1  Synpo2l  Morc3  Tpp2  Ddx17  Srsf3
0.012280567,19,444,-2.477566853,Transcription regulator complex , http://amigo.geneontology.org/amigo/term/GO:0005667, Dazap2  Gata2  Arnt  Vdr  Cdk2  Skil  Sfpq  Dr1  Cbfb  Ets1  Mga  Six4  Pbx2  Taf13  Six1  Ep300  Rbbp4  Hes6  Gtf3c2
